EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevelID,EducationLevel,PerformanceID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,SatisfactionID,SatisfactionLevel,SatisfactionID_Job,SatisfactionLevel_Job,SatisfactionID_Rel,SatisfactionLevel_Rel,RatingID,RatingLevel,RatingID_Manager,RatingLevel_Manager
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1295,10/30/2016,3.0,3.0,2.0,3.0,0.0,4.0,3.0,3.0,3.0,Neutral,3.0,Neutral,2.0,Dissatisfied,3.0,Meets Expectation,3.0,Meets Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1908,10/30/2017,4.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,4.0,Satisfied ,4.0,Satisfied ,5.0,Very Satisfied,3.0,Meets Expectation,2.0,Needs Improvement
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR2617,10/30/2018,5.0,5.0,4.0,3.0,0.0,4.0,5.0,5.0,5.0,Very Satisfied,5.0,Very Satisfied,4.0,Satisfied ,5.0,Above and Beyond,5.0,Above and Beyond
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR3436,10/30/2019,1.0,3.0,2.0,3.0,1.0,3.0,5.0,4.0,1.0,Very Dissatisfied,3.0,Neutral,2.0,Dissatisfied,5.0,Above and Beyond,4.0,Exceeds Expectation 
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR411,10/31/2014,3.0,4.0,2.0,1.0,0.0,3.0,4.0,3.0,3.0,Neutral,4.0,Satisfied ,2.0,Dissatisfied,4.0,Exceeds Expectation ,3.0,Meets Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR4378,10/29/2020,3.0,2.0,5.0,1.0,0.0,3.0,5.0,4.0,3.0,Neutral,2.0,Dissatisfied,5.0,Very Satisfied,5.0,Above and Beyond,4.0,Exceeds Expectation 
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR5415,10/29/2021,4.0,5.0,4.0,1.0,0.0,4.0,3.0,3.0,4.0,Satisfied ,5.0,Very Satisfied,4.0,Satisfied ,3.0,Meets Expectation,3.0,Meets Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR6529,10/29/2022,4.0,2.0,4.0,1.0,0.0,2.0,5.0,4.0,4.0,Satisfied ,2.0,Dissatisfied,4.0,Satisfied ,5.0,Above and Beyond,4.0,Exceeds Expectation 
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR791,10/31/2015,5.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,Very Satisfied,5.0,Very Satisfied,2.0,Dissatisfied,4.0,Exceeds Expectation ,4.0,Exceeds Expectation 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR1213,7/30/2016,3.0,3.0,2.0,2.0,0.0,5.0,4.0,4.0,3.0,Neutral,3.0,Neutral,2.0,Dissatisfied,4.0,Exceeds Expectation ,4.0,Exceeds Expectation 
